data,confirmados,recuperados,mortes,isolamento,restricao,uti
2020-03-23,1,0,0,,,
2020-03-24,1,0,0,,,
2020-03-25,1,0,0,,,
2020-03-26,1,0,0,,,
2020-03-27,1,0,0,,,
2020-03-28,1,0,0,,,
2020-03-29,1,0,0,,,
2020-03-30,1,0,0,,,
2020-03-31,1,0,0,,,
2020-04-01,1,0,0,,,
2020-04-02,1,0,0,,,
2020-04-03,1,0,0,,,
2020-04-04,1,0,0,,,
2020-04-05,1,1,0,,,
2020-04-06,1,1,0,,,
2020-04-07,1,1,0,,,
2020-04-08,1,1,0,,0,
2020-04-09,1,1,0,,,
2020-04-10,1,1,0,,,
2020-04-11,1,1,0,,,
2020-04-12,2,1,0,,,
2020-04-13,2,1,0,,,
2020-04-14,2,1,0,,,
2020-04-15,4,1,0,,,
2020-04-16,4,2,0,,,
2020-04-17,9,2,0,,,
2020-04-18,12,2,0,,,
2020-04-19,19,2,0,,,
2020-04-20,21,2,0,,1,
2020-04-21,22,2,0,,,
2020-04-22,27,3,0,,,
2020-04-23,31,3,0,,,
2020-04-24,32,3,0,,,
2020-04-25,37,3,0,,,
2020-04-26,38,3,0,,,
2020-04-27,43,3,0,,,
2020-04-28,49,3,0,,,
2020-04-29,54,12,0,,,
2020-04-30,60,15,0,,,
2020-05-01,61,15,1,,,
2020-05-02,64,15,1,,,
2020-05-03,68,15,1,,,
2020-05-04,68,16,1,39.5,,
2020-05-05,68,20,1,39.6,,
2020-05-06,76,28,2,38.2,0,
2020-05-07,82,37,2,40.3,,
2020-05-08,84,49,2,34.8,,
2020-05-09,85,49,2,36.1,,
2020-05-10,89,59,2,41.8,,
2020-05-11,104,67,2,39.1,,
2020-05-12,120,69,3,40.5,,
2020-05-13,128,76,3,41.8,,
2020-05-14,142,80,3,39.6,20,
2020-05-15,145,81,3,39,,
2020-05-16,149,81,3,41.1,1,
2020-05-17,153,81,3,47.6,,
2020-05-18,162,82,3,42,,
2020-05-19,182,82,3,40.7,,
2020-05-20,201,83,4,41.1,18,
2020-05-21,219,88,6,41.7,,
2020-05-22,235,91,6,40.8,,
2020-05-23,254,91,6,41.2,,
2020-05-24,265,93,6,48.2,,
2020-05-25,273,93,7,42.6,,
2020-05-26,296,96,8,,,
2020-05-27,313,116,11,,,
2020-05-28,329,122,12,,,
2020-05-29,361,122,12,,,
2020-05-30,385,130,12,,17,
2020-05-31,397,130,13,,,
2020-06-01,401,148,13,,,
2020-06-02,423,151,14,,,
2020-06-03,440,157,16,,,
2020-06-04,460,177,17,,,
2020-06-05,486,181,17,,,
2020-06-06,511,184,17,,,
2020-06-07,518,222,17,,,
2020-06-08,528,222,18,,,
2020-06-09,535,222,18,,,
2020-06-10,555,248,18,,,
2020-06-11,567,260,18,,,
2020-06-12,574,280,19,,,89.5
2020-06-13,595,290,19,,,73.7
2020-06-14,601,290,20,,,89.5
2020-06-15,608,334,22,,,84.2
2020-06-16,618,351,22,,0,89.5
2020-06-17,630,361,22,,,73.7
2020-06-18,656,377,22,,,63.2
2020-06-19,671,415,23,,,63.2
2020-06-20,706,415,24,,,47.4
2020-06-21,710,415,24,,,73,7
2020-06-22,725,431,24,,,68.4
2020-06-23,765,445,29,,,52.6
