data,confirmados,recuperados,mortes
2020-03-25,1,0,0
2020-03-26,2,0,0
2020-03-27,2,0,0
2020-03-28,2,0,0
2020-03-29,2,0,0
2020-03-30,2,0,0
2020-03-31,6,0,0
2020-04-01,8,0,0
2020-04-02,8,0,0
2020-04-03,10,0,0
2020-04-04,11,0,0
2020-04-05,12,0,0
2020-04-06,14,0,0
2020-04-07,21,2,0
2020-04-08,22,6,0
2020-04-09,27,6,0
2020-04-10,29,11,0
2020-04-11,29,11,1
2020-04-12,40,11,1
2020-04-13,45,18,1
2020-04-14,47,20,1
2020-04-15,53,20,1
2020-04-16,55,21,2
2020-04-17,60,21,2
2020-04-18,60,27,2
2020-04-19,67,27,2
2020-04-20,79,27,3
2020-04-21,92,35,3
2020-04-22,95,38,4
2020-04-23,127,38,4
2020-04-24,134,38,4
2020-04-25,149,38,4
2020-04-26,167,53,4
2020-04-27,178,60,4
2020-04-28,193,64,4
2020-04-29,193,78,4
2020-04-30,202,87,4
2020-05-01,217,91,5
2020-05-02,222,95,5
2020-05-03,234,109,5
2020-05-04,241,126,9
2020-05-05,256,136,11
2020-05-06,267,144,11
2020-05-07,275,160,13
2020-05-08,277,169,13
2020-05-09,289,178,15
2020-05-10,291,189,15
2020-05-11,310,196,15
2020-05-12,326,201,16
2020-05-13,332,205,16
2020-05-14,336,208,17
2020-05-15,344,208,17
2020-05-16,344,208,17
2020-05-17,360,216,17
2020-05-18,364,216,18
2020-05-19,373,248,20
2020-05-20,385,260,20
2020-05-21,402,263,20
2020-05-22,410,270,28
2020-05-23,412,270,28
